Strain,HOMO-LUMO,Total Energy,Total Time
+8percent,2.14306711,-120547.764463923,2413.848
+7percent,2.16827017,-120548.031009165,2421.385
+6percent,2.19928742,-120548.263831589,2396.985
+5percent,2.23473098,-120548.461382359,2332.663
+4percent,2.14066214,-120548.622671345,2365.57
+3percent,2.03618929,-120548.747178398,2380.254
+2percent,1.95057505,-120548.834769658,2286.606
+1percent,1.88296964,-120548.885648657,2205.282
+0percent,1.83194195,-120548.900321229,2173.266
-1percent,1.79550746,-120548.87961705,2190.753
-2percent,1.70208383,-120548.824689481,2182.557
-3percent,1.56727613,-120548.737034659,2147.502
-4percent,1.41856612,-120548.618475624,2079.223
-6percent,1.08895877,-120548.297303908,4697.112
-7percent,0.91463213,-120548.099573495,5492.656
-8percent,0.73859356,-120547.88065584,14978.287
