Strain,Particle,Band Index,Direction,Least Squares m* (m_e),Finite Difference m* (m_e),EffMass_SI,Mobility (cm²/V·s)
0%,hole,10,1 -0 -0,-2.6115,-1.4261,-2.3789155166939997e-30,10.825989406065837
0%,hole,10,1 0 0,-0.5399,-0.6774,-4.918156184044e-31,253.29172586441297
0%,hole,10,1 1 0,-0.6339,-0.794,-5.774438238684e-31,183.74103338228377
0%,hole,10,1 1 -0,-2.3661,-1.5006,-2.1553712441315998e-30,13.188076783520989
0%,electron,11,1 -0 -0,1.4845,1.5242,1.352287989482e-30,33.50327439387956
0%,electron,11,-0 -0 1,2.0131,2.1311,1.8338100044636e-30,18.218682208205752
1%,hole,9,1 -0 -0,-1.5158,-3.8784,-1.3808003600248e-30,32.1339306930132
1%,hole,9,1 0 0,-1.3797,-0.899,-1.2568216497731999e-30,38.786297969196816
1%,hole,9,1 1 0,-1.5685,-0.9786,-1.428806811386e-30,30.010871828649467
1%,hole,9,1 1 -0,-1.4682,-3.8198,-1.3374396942792e-30,34.25131253657164
1%,electron,10,1 -0 -0,1.5812,1.6218,1.4403757285072e-30,29.530720746386223
1%,electron,10,-0 -0 1,2.3793,2.5162,2.1673956304308003e-30,13.042151745559737
2%,hole,7,1 -0 -0,-2.3551,-3.4604,-2.1453509222156e-30,13.311559975067341
2%,hole,7,1 0 0,-1.0431,-0.9234,-9.501997991436e-31,67.85717374706542
2%,hole,7,1 1 0,-1.127,-0.9904,-1.026627527212e-30,58.1299334859583
2%,hole,7,1 1 -0,-2.2054,-3.351,-2.0089834503223998e-30,15.180040059258396
2%,electron,8,1 -0 -0,1.6898,1.7336,1.5393036339687999e-30,25.85693517120727
2%,electron,8,-0 -0 1,2.8895,3.0575,2.632156379662e-30,8.8430536634991
3%,hole,7,1 -0 -0,-4.9646,-3.0966,-4.5224445621976e-30,2.9955676524802146
3%,hole,7,1 0 0,-0.8442,-0.9492,-7.690141601351999e-31,103.59933375476993
3%,hole,7,1 1 0,-0.8891,-1.0025,-8.099152923195999e-31,93.39990567295953
3%,hole,7,1 1 -0,-4.2014,-2.9885,-3.8272164088983994e-30,4.182727733123518
3%,electron,8,1 -0 -0,1.8121,1.8626,1.6507113949076e-30,22.484505333284886
3%,electron,8,-0 -0 1,3.6363,3.8447,3.3124451439227996e-30,5.583779323640667
4%,hole,7,1 -0 -0,-4.3352,-15.8965,-3.9490999609312e-30,3.928523741668574
4%,hole,7,1 0 0,-1.9797,-1.4306,-1.8033846633732e-30,18.838611586490263
4%,hole,7,1 1 0,-2.1254,-1.4219,-1.9361083818424e-30,16.34429926416604
4%,hole,7,1 1 -0,-3.5822,-17.6786,-3.2631633788632e-30,5.7537104018584255
4%,electron,8,1 -0 -0,1.9522,2.0058,1.7783338585832e-30,19.373096477323955
4%,electron,8,1 -19999472 -0,0.3999,0.4192,3.642842485644e-31,461.6840274621465
4%,electron,8,-0 -0 1,4.8281,5.1135,4.3981014766036e-30,3.1673433498502024
5%,hole,7,1 -0 -0,-12.1437,-8.2608,-1.10621621137572e-29,0.5006631166237637
5%,hole,7,1 0 0,-1.3922,-1.4262,-1.2682083792232e-30,38.09293180883698
5%,hole,7,1 1 0,-1.4693,-1.4019,-1.3384417264708e-30,34.20004684481948
5%,hole,7,1 1 -0,-7.44,-8.9485,-6.77738136864e-30,1.3338340105898576
5%,electron,8,1 -0 -0,2.1119,2.1671,1.9238107140364e-30,16.553924028225488
5%,electron,8,1 -19999472 -0,0.4239,0.4441,3.861467691084e-31,410.8855090273293
5%,electron,8,-0 -0 1,6.9758,7.3862,6.354523783784799e-30,1.5172586315430316
6%,hole,7,1 -0 -0,-22.0561,148.8495,-2.00917474737716e-29,0.15177149560345143
6%,hole,7,1 0 0,-2.9764,-2.3661,-2.7113169227984e-30,8.334222033356255
6%,hole,7,1 1 0,-3.5504,-2.2991,-3.2341955391424e-30,5.857240927371114
6%,hole,7,1 1 -0,-12.8021,27.9783,-1.1661923927347598e-29,0.4504900754118126
6%,electron,8,1 -0 -0,2.3008,2.3695,2.0958869694848e-30,13.947292877982667
6%,electron,8,1 -19999472 -0,0.4515,0.4728,4.11288667734e-31,362.1864084825492
6%,electron,8,-0 -0 1,11.9728,12.7996,1.0906482748716799e-29,0.51505807736753
7%,hole,7,1 0 0,-6.501,-4.4512,-5.922010252356e-30,1.7469775581858642
7%,hole,7,1 1 0,-9.8008,-4.7647,-8.9279246394848e-30,0.7686428725157668
7%,electron,8,1 -0 -0,2.5289,2.5959,2.3036720084884e-30,11.54474501557624
7%,electron,8,1 -19999472 -0,0.4838,0.5066,4.407119766328e-31,315.4393942427787
7%,electron,8,-0 -0 1,36.3408,38.8818,3.3104228607724803e-29,0.055906034862084834
8%,hole,7,1 0 0,-13.6664,-9.2238,-1.2449247948438399e-29,0.39531145792737743
8%,hole,7,1 1 0,-21.3527,-12.3267,-1.9450993434161197e-29,0.16193549806011248
8%,electron,8,1 -0 -0,2.4563,2.4996,2.2375378838428e-30,12.237278434938624
8%,electron,8,1 -19999472 -0,0.4207,0.4474,3.832317663692e-31,417.15997627069834
8%,electron,8,0 0 1,27.9812,29.0245,2.54891483269072e-29,0.09430071524483635
-1%,hole,10,1 -0 -0,-1.5609,-1.4242,-1.4218836798804e-30,30.30382831713153
-1%,hole,10,1 0 0,-0.6058,-0.6552,-5.518464560648e-31,201.18199947167133
-1%,hole,10,1 1 0,-0.7552,-0.7804,-6.8794064645119996e-31,129.45645061574976
-1%,hole,10,1 1 -0,-1.4432,-1.5225,-1.3146662353792e-30,35.44823512910359
-1%,electron,11,1 -0 -0,1.3982,1.4362,1.2736740093592001e-30,37.76670209337885
-1%,electron,11,-0 -0 1,1.7403,1.8416,1.5853060209468e-30,24.378075499979506
-2%,hole,10,1 0 0,-0.4714,-1.0595,-4.294163410184e-31,332.25268690517515
-2%,hole,10,1 1 0,-0.4283,1.6896,-3.901548978748e-31,402.4866772538376
-2%,hole,10,0 0 1,-4.1656,-4.0486,-3.7946048157536e-30,4.254931068878698
-2%,electron,11,1 -0 -0,1.3204,1.3576,1.2028030052624e-30,42.34836297150525
-2%,electron,11,-0 -0 1,1.5323,1.6265,1.3958308428988e-30,31.445612252665065
-3%,hole,10,1 0 0,-0.4057,-0.5234,-3.695676910292e-31,448.57766164535656
-3%,hole,10,0 0 1,-4.3649,-4.1464,-3.9761548301043994e-30,3.875244077467932
-3%,electron,11,1 -0 -0,1.2527,1.2872,1.1411324785611999e-30,47.04933649764135
-3%,electron,11,-0 -0 1,1.3718,1.4543,1.2496252367607999e-30,39.23431378008775
-4%,hole,10,1 0 0,-0.4289,-0.4737,-3.9070146088839997e-31,401.36136556603503
-4%,hole,10,0 0 1,-4.6935,-4.3475,-4.275489173886e-30,3.3516141379228834
-4%,electron,11,1 -0 -0,1.1932,1.2269,1.0869316463792e-30,51.85864544337311
-4%,electron,11,-0 -0 1,1.2464,1.3227,1.1353935669184e-30,47.52616565785633
-5%,hole,10,1 0 0,-0.4822,-0.4513,-4.392544752632e-31,317.53620205997436
-5%,hole,10,0 0 1,-5.2256,-4.6623,-4.7601994731135996e-30,2.70380478319549
-5%,electron,11,1 -0 -0,1.1424,1.1763,1.0406559778944e-30,56.573268315128395
-5%,electron,11,-0 -0 1,1.1494,1.2208,1.0470325463864e-30,55.886289034699864
-6%,hole,10,1 0 0,-0.4822,-0.4513,-4.392544752632e-31,317.53620205997436
-6%,hole,10,0 0 1,-5.2256,-4.6623,-4.7601994731135996e-30,2.70380478319549
-6%,electron,11,1 -0 -0,1.1424,1.1763,1.0406559778944e-30,56.573268315128395
-6%,electron,11,-0 -0 1,1.1494,1.2208,1.0470325463864e-30,55.886289034699864
-7%,hole,10,1 0 0,-0.7492,-0.4328,-6.824750163152e-31,131.53826849117212
-7%,hole,10,0 0 1,-7.6125,-5.9217,-6.93451823505e-30,1.2740692875799922
-7%,electron,11,1 -0 -0,1.0693,1.101,9.740663840707999e-31,64.57263731215659
-7%,electron,11,-0 -0 1,1.0233,1.0852,9.321632196948001e-31,70.50853803589948
-8%,hole,10,0 0 1,-10.7859,-7.1306,-9.8252900139804e-30,0.6346508691903984
-8%,electron,11,1 -0 -0,1.0478,1.0803,9.544812094168e-31,67.24978030353958
-8%,electron,11,-0 -0 1,0.9886,1.0482,9.005536587416e-31,75.54512530096461
