Strain,Particle,Band,Direction,Least squares,Finite difference,,,
8%,hole,6,[0. 0. 1.],-4.1599,-4.2882,,,
8%,hole,7,[1. 0. 0.],-0.55,-0.5782,,,
8%,hole,7,[1. 1. 0.],-0.5332,-0.5462,,,
8%,hole,7,[0. 0. 1.],-4.1646,-4.2987,,,
8%,electron,8,[1. -0. -0.],1.536,1.5538,,,
8%,electron,8,[-0. -0. 1.],2.2065,2.3216,,,
7%,hole,10,[1. 1. 0.],-0.7557,-0.6981,,,
7%,hole,10,[1. 1. -0.],-1.0245,-1.2626,,,
7%,electron,11,[-0. -0. 1.],11.1155,11.4549,,,
7%,electron,11,[1. 0. 0.],0.7406,0.8662,,,
7%,electron,11,[1. 1. 0.],0.6714,0.7052,,,
7%,electron,12,[-0. -0. 1.],11.1399,11.5103,,,
6%,hole,9,[1. 1. 0.],-0.6273,-0.6947,,,
6%,hole,9,[1. 1. -0.],-1.2977,-1.1829,,,
6%,electron,10,[-0. -0. 1.],11.4987,11.8386,,,
6%,electron,10,[1. 0. 0.],0.7673,0.897,,,
6%,electron,10,[1. 1. 0.],0.689,0.7192,,,
6%,electron,11,[-0. -0. 1.],11.5254,11.899,,,
5%,hole,9,[1. 1. 0.],-0.5357,-0.6939,,,
5%,hole,9,[1. 1. -0.],-1.8063,-1.1173,,,
5%,electron,10,[-0. -0. 1.],11.9658,12.3425,,,
5%,electron,10,[1. 0. 0.],0.8043,0.9406,,,
5%,electron,10,[1. 1. 0.],0.7147,0.7413,,,
5%,electron,11,[-0. -0. 1.],11.9364,12.2762,,,
4%,hole,9,[1. 1. 0.],-1.4069,-0.7873,,,
4%,hole,9,[1. 1. -0.],-0.8953,-2.0073,,,
4%,electron,10,[1. -0. -0.],3.02,3.1774,,,
4%,electron,10,[1. -1.9999472 -0.],0.469,0.4942,,,
4%,electron,10,[-0. -0. 1.],2.5891,2.7402,,,
3%,hole,9,[1. 1. 0.],-1.0405,-0.778,,,
3%,hole,9,[1. 1. -0.],-1.0669,-1.8202,,,
3%,electron,10,[1. -0. -0.],2.1584,2.2463,,,
3%,electron,10,[1. -1.9999472 -0.],0.4088,0.4303,,,
3%,electron,10,[-0. -0. 1.],2.3352,2.472,,,
2%,hole,10,[1. -0. -0.],-1.4568,-1.6266,,,
2%,hole,10,[1. 0. 0.],-0.6966,-0.6847,,,
2%,hole,10,[1. 1. 0.],-0.8357,-0.7761,,,
2%,hole,10,[1. 1. -0.],-1.3195,-1.677,,,
2%,electron,11,[1. -0. -0.],1.7898,1.8508,,,
2%,electron,11,[-0. -0. 1.],2.1728,2.2998,,,
1%,hole,10,[1. -0. -0.],-1.8746,-1.5117,,,
1%,hole,10,[1. 0. 0.],-0.6043,-0.6784,,,
1%,hole,10,[1. 1. 0.],-0.7112,-0.7813,,,
1%,hole,10,[1. 1. -0.],-1.7125,-1.5705,,,
1%,electron,11,[1. -0. -0.],1.595,1.6441,,,
1%,electron,11,[-0. -0. 1.],2.0711,2.1948,,,
0%,hole,10,[1. -0. -0.],-2.6115,-1.4261,,,
0%,hole,10,[1. 0. 0.],-0.5399,-0.6774,,,
0%,hole,10,[1. 1. 0.],-0.6339,-0.794,,,
0%,hole,10,[1. 1. -0.],-2.3661,-1.5006,,,
0%,electron,11,[1. -0. -0.],1.4845,1.5242,,,
0%,electron,11,[-0. -0. 1.],2.0131,2.1311,,,
-1%,hole,10,[1. -0. -0.],-1.2562,-3.8011,,,
-1%,hole,10,[1. 0. 0.],-1.5455,-0.8641,,,
-1%,hole,10,[1. 1. 0.],-1.9238,-0.9772,,,
-1%,hole,10,[1. 1. -0.],-1.2462,-3.913,,,
-1%,electron,11,[1. -0. -0.],1.4215,1.4566,,,
-1%,electron,11,[-0. -0. 1.],1.9872,2.1021,,,
-2%,hole,9,[1. 0. 0.],-0.3775,4.5202,,,
-2%,hole,9,[1. 1. 0.],-0.3782,4.768,,,
-2%,hole,9,[0. 0. 1.],-4.0239,-4.1351,,,
-2%,hole,10,[1. 0. 0.],-0.4921,-0.5123,,,
-2%,hole,10,[1. 1. 0.],-0.482,-0.495,,,
-2%,hole,10,[0. 0. 1.],-4.0239,-4.1351,,,
-2%,electron,11,[1. -0. -0.],1.39,1.4195,,,
-2%,electron,11,[-0. -0. 1.],1.9868,2.0982,,,
-3%,hole,8,[0. 0. 1.],-4.0201,-4.1241,,,
-3%,hole,9,[1. 0. 0.],-0.5032,-0.5244,,,
-3%,hole,9,[1. 1. 0.],-0.4684,-0.5155,,,
-3%,hole,9,[0. 0. 1.],-4.0201,-4.1241,,,
-3%,electron,10,[ 1. -0. -0.],1.3796,1.4087,,,
-3%,electron,10,[-0. -0.  1.],2.0028,2.1159,,,
-4%,hole,8,[0. 0. 1.],-4.0306,-4.1419,,,
-4%,hole,9,[1. 0. 0.],-0.5145,-0.5368,,,
-4%,hole,9,[1. 1. 0.],-0.4996,-0.509,,,
-4%,hole,9,[0. 0. 1.],-4.0306,-4.1419,,,
-4%,electron,10,[ 1. -0. -0.],1.3861,1.4108,,,
-4%,electron,10,[-0. -0.  1.],2.0317,2.1456,,,
-6%,hole,6,[0. 0. 1.],-4.0917,-4.2162,,,
-6%,hole,7,[1. 0. 0.],-0.5355,-0.5602,,,
-6%,hole,7,[1. 1. 0.],-0.5198,-0.5305,,,
-6%,hole,7,[0. 0. 1.],-4.0917,-4.2162,,,
-6%,electron,8,[ 1. -0. -0.],1.439,1.4589,,,
-6%,electron,8,[-0. -0.  1.],2.1144,2.2258,,,
-7%,hole,6,[0. 0. 1.],-4.1316,-4.2451,,,
-7%,hole,7,[1. 0. 0.],-0.5438,-0.5701,,,
-7%,hole,7,[1. 1. 0.],-0.5276,-0.5393,,,
-7%,hole,7,[0. 0. 1.],-4.126,-4.2551,,,
-7%,electron,8,[ 1. -0. -0.],1.4827,1.5006,,,
-7%,electron,8,[-0. -0.  1.],2.1612,2.2755,,,
-8%,hole,6,[0. 0. 1.],-4.1599,-4.2882,,,
-8%,hole,7,[1. 0. 0.],-0.55,-0.5782,,,
-8%,hole,7,[1. 1. 0.],-0.5332,-0.5462,,,
-8%,hole,7,[0. 0. 1.],-4.1646,-4.2987,,,
-8%,electron,8,[ 1. -0. -0.],1.536,1.5538,,,
-8%,electron,8,[-0. -0.  1.],2.2065,2.3216,,,
